location;time_of_measurement;counted_pedestrians;type;incidents
Königstraße (Mitte), Stuttgart;2019-03-01 00:00:00 +0100;181;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 01:00:00 +0100;88;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 02:00:00 +0100;55;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 03:00:00 +0100;62;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 04:00:00 +0100;56;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 05:00:00 +0100;71;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 06:00:00 +0100;131;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 07:00:00 +0100;213;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 08:00:00 +0100;433;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 09:00:00 +0100;741;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 10:00:00 +0100;1483;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 11:00:00 +0100;2370;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 12:00:00 +0100;3440;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 13:00:00 +0100;3863;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 14:00:00 +0100;4168;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 15:00:00 +0100;4798;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 16:00:00 +0100;5553;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 17:00:00 +0100;5221;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 18:00:00 +0100;5237;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 19:00:00 +0100;3912;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 20:00:00 +0100;2336;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 21:00:00 +0100;1678;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 22:00:00 +0100;1662;regular;""
Königstraße (Mitte), Stuttgart;2019-03-01 23:00:00 +0100;1202;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 00:00:00 +0100;910;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 01:00:00 +0100;653;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 02:00:00 +0100;538;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 03:00:00 +0100;449;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 04:00:00 +0100;341;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 05:00:00 +0100;242;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 06:00:00 +0100;176;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 07:00:00 +0100;194;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 08:00:00 +0100;313;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 09:00:00 +0100;876;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 10:00:00 +0100;2613;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 11:00:00 +0100;4663;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 12:00:00 +0100;6499;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 13:00:00 +0100;8209;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 14:00:00 +0100;9789;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 15:00:00 +0100;10969;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 16:00:00 +0100;10971;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 17:00:00 +0100;10444;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 18:00:00 +0100;8855;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 19:00:00 +0100;6636;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 20:00:00 +0100;3713;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 21:00:00 +0100;2207;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 22:00:00 +0100;2151;regular;""
Königstraße (Mitte), Stuttgart;2019-03-02 23:00:00 +0100;1715;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 00:00:00 +0100;1295;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 01:00:00 +0100;981;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 02:00:00 +0100;703;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 03:00:00 +0100;585;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 04:00:00 +0100;497;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 05:00:00 +0100;391;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 06:00:00 +0100;200;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 07:00:00 +0100;127;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 08:00:00 +0100;142;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 09:00:00 +0100;273;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 10:00:00 +0100;484;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 11:00:00 +0100;937;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 12:00:00 +0100;1452;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 13:00:00 +0100;1928;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 14:00:00 +0100;2469;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 15:00:00 +0100;2577;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 16:00:00 +0100;3115;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 17:00:00 +0100;2599;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 18:00:00 +0100;2326;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 19:00:00 +0100;1574;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 20:00:00 +0100;1139;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 21:00:00 +0100;741;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 22:00:00 +0100;425;regular;""
Königstraße (Mitte), Stuttgart;2019-03-03 23:00:00 +0100;214;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 00:00:00 +0100;132;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 00:00:00 +0100;132;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 01:00:00 +0100;35;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 02:00:00 +0100;16;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 03:00:00 +0100;26;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 04:00:00 +0100;46;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 05:00:00 +0100;82;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 06:00:00 +0100;159;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 07:00:00 +0100;405;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 08:00:00 +0100;724;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 09:00:00 +0100;953;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 10:00:00 +0100;1832;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 11:00:00 +0100;3082;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 12:00:00 +0100;4180;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 13:00:00 +0100;4614;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 14:00:00 +0100;4980;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 15:00:00 +0100;5403;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 16:00:00 +0100;4637;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 17:00:00 +0100;3124;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 18:00:00 +0100;2647;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 19:00:00 +0100;2273;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 20:00:00 +0100;1237;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 21:00:00 +0100;377;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 22:00:00 +0100;247;regular;""
Königstraße (Mitte), Stuttgart;2019-03-04 23:00:00 +0100;260;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 00:00:00 +0100;127;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 01:00:00 +0100;57;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 02:00:00 +0100;18;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 03:00:00 +0100;21;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 04:00:00 +0100;51;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 05:00:00 +0100;58;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 06:00:00 +0100;150;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 07:00:00 +0100;432;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 08:00:00 +0100;706;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 09:00:00 +0100;1077;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 10:00:00 +0100;1848;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 11:00:00 +0100;2913;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 12:00:00 +0100;4451;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 13:00:00 +0100;5378;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 14:00:00 +0100;4433;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 15:00:00 +0100;3833;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 16:00:00 +0100;3126;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 17:00:00 +0100;2504;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 18:00:00 +0100;2811;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 19:00:00 +0100;1692;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 20:00:00 +0100;790;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 21:00:00 +0100;503;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 22:00:00 +0100;462;regular;""
Königstraße (Mitte), Stuttgart;2019-03-05 23:00:00 +0100;411;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 00:00:00 +0100;219;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 01:00:00 +0100;58;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 02:00:00 +0100;33;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 03:00:00 +0100;38;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 04:00:00 +0100;60;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 05:00:00 +0100;77;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 06:00:00 +0100;172;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 07:00:00 +0100;429;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 08:00:00 +0100;854;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 09:00:00 +0100;1117;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 10:00:00 +0100;2258;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 11:00:00 +0100;3624;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 12:00:00 +0100;5120;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 13:00:00 +0100;5494;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 14:00:00 +0100;5924;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 15:00:00 +0100;6725;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 16:00:00 +0100;7175;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 17:00:00 +0100;6967;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 18:00:00 +0100;6144;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 19:00:00 +0100;4198;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 20:00:00 +0100;1988;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 21:00:00 +0100;1065;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 22:00:00 +0100;696;regular;""
Königstraße (Mitte), Stuttgart;2019-03-06 23:00:00 +0100;343;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 00:00:00 +0100;136;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 01:00:00 +0100;38;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 02:00:00 +0100;47;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 03:00:00 +0100;47;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 04:00:00 +0100;62;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 05:00:00 +0100;61;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 06:00:00 +0100;157;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 07:00:00 +0100;419;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 08:00:00 +0100;727;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 09:00:00 +0100;1017;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 10:00:00 +0100;1911;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 11:00:00 +0100;3037;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 12:00:00 +0100;4568;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 13:00:00 +0100;4804;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 14:00:00 +0100;3869;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 15:00:00 +0100;5221;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 16:00:00 +0100;5802;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 17:00:00 +0100;6754;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 18:00:00 +0100;5575;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 19:00:00 +0100;3647;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 20:00:00 +0100;1880;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 21:00:00 +0100;1037;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 22:00:00 +0100;714;regular;""
Königstraße (Mitte), Stuttgart;2019-03-07 23:00:00 +0100;417;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 00:00:00 +0100;186;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 01:00:00 +0100;118;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 02:00:00 +0100;45;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 03:00:00 +0100;69;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 04:00:00 +0100;66;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 05:00:00 +0100;57;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 06:00:00 +0100;123;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 07:00:00 +0100;385;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 08:00:00 +0100;624;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 09:00:00 +0100;1025;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 10:00:00 +0100;2043;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 11:00:00 +0100;3529;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 12:00:00 +0100;4723;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 13:00:00 +0100;5325;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 14:00:00 +0100;6003;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 15:00:00 +0100;6595;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 16:00:00 +0100;7157;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 17:00:00 +0100;7621;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 18:00:00 +0100;6627;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 19:00:00 +0100;4922;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 20:00:00 +0100;2849;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 21:00:00 +0100;1820;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 22:00:00 +0100;1750;regular;""
Königstraße (Mitte), Stuttgart;2019-03-08 23:00:00 +0100;1262;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 00:00:00 +0100;985;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 00:00:00 +0100;985;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 01:00:00 +0100;659;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 02:00:00 +0100;520;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 03:00:00 +0100;469;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 04:00:00 +0100;419;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 05:00:00 +0100;275;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 06:00:00 +0100;101;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 07:00:00 +0100;204;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 08:00:00 +0100;317;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 09:00:00 +0100;917;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 10:00:00 +0100;2470;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 11:00:00 +0100;4524;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 12:00:00 +0100;6428;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 13:00:00 +0100;7940;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 14:00:00 +0100;9109;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 15:00:00 +0100;8675;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 16:00:00 +0100;9639;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 17:00:00 +0100;9321;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 18:00:00 +0100;8191;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 19:00:00 +0100;5922;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 20:00:00 +0100;3452;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 21:00:00 +0100;2358;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 22:00:00 +0100;2279;regular;""
Königstraße (Mitte), Stuttgart;2019-03-09 23:00:00 +0100;1811;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 00:00:00 +0100;1572;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 01:00:00 +0100;1123;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 02:00:00 +0100;943;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 03:00:00 +0100;843;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 04:00:00 +0100;531;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 05:00:00 +0100;269;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 06:00:00 +0100;165;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 07:00:00 +0100;53;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 08:00:00 +0100;83;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 09:00:00 +0100;146;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 10:00:00 +0100;249;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 11:00:00 +0100;594;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 12:00:00 +0100;956;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 13:00:00 +0100;1516;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 14:00:00 +0100;1990;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 15:00:00 +0100;2218;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 16:00:00 +0100;2338;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 17:00:00 +0100;2068;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 18:00:00 +0100;1625;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 19:00:00 +0100;966;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 20:00:00 +0100;486;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 21:00:00 +0100;344;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 22:00:00 +0100;246;regular;""
Königstraße (Mitte), Stuttgart;2019-03-10 23:00:00 +0100;145;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 00:00:00 +0100;39;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 01:00:00 +0100;39;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 02:00:00 +0100;7;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 03:00:00 +0100;12;regular;""
Königstraße (Mitte), Stuttgart;2019-03-11 04:00:00 +0100;28;regular;""
